,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.1245,Mon Nov 27 20:01:06 +0000 2017,0.795,0.09,0.114,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A cafe’s sign that joked about “happily gentrifying” a Denver neighborhood did not go down well with the neighbors https://t.co/cuVk7MtPLs,1
1,0.7184,Mon Nov 27 19:47:52 +0000 2017,0.714,0.0,0.286,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @kchangnyt: Trust me. This is is an interesting story about international treaties, bureaucracy and regulations. https://t.co/WmozinTwkl",2
2,0.2732,Mon Nov 27 19:31:03 +0000 2017,0.9,0.0,0.1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After a week of upheaval, Angela Merkel turned to her old coalition partners. “We need to create stability,"" she sa… https://t.co/Gm1FfJpXSd",3
3,-0.6549,Mon Nov 27 19:16:05 +0000 2017,0.76,0.24,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Buying a fully assembled gun is a process subject to a host of regulations. But anyone can make a gun at home. https://t.co/Y3tvHhwtxB,4
4,-0.5267,Mon Nov 27 19:02:07 +0000 2017,0.747,0.253,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Senator Al Franken, battling for his political life, responded to accusations of groping https://t.co/cav6NJHBmm https://t.co/xDPJuEK6sF",5
5,0.5106,Mon Nov 27 18:50:57 +0000 2017,0.845,0.0,0.155,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @nytimesbooks: This Booker Prize finalist is a beguiling patchwork of influences held together by Fiona Mozley’s distinct voice https://…,6
6,-0.296,Mon Nov 27 18:31:01 +0000 2017,0.896,0.104,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Confusion reigned at a federal consumer agency as two bosses showed up, one an Obama holdover, the other a Trump pi… https://t.co/Bzq1Cwkuvv",7
7,-0.3182,Mon Nov 27 18:16:04 +0000 2017,0.67,0.196,0.134,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",There are many evidence-based prevention programs that could be usefully applied to the opioid crisis https://t.co/44lgWGTO5q,8
8,-0.6124,Mon Nov 27 18:02:46 +0000 2017,0.6,0.4,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Leading health organizations now recognize chronic fatigue as a serious long-term illness https://t.co/hSFgvg7VJF,9
9,0.3612,Mon Nov 27 17:47:44 +0000 2017,0.906,0.0,0.094,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @mairalg: I'm collecting readers' thoughts on Pixar's ""Coco"" for an article. What did you think of the film? What was it like seeing the…",10
10,-0.8126,Mon Nov 27 17:31:07 +0000 2017,0.656,0.344,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A blogger was sentenced to prison for posting reports on a chemical spill that devastated the coast of central Viet… https://t.co/xsutsRMiyY,11
11,0.3612,Mon Nov 27 17:16:11 +0000 2017,0.839,0.0,0.161,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Republicans are ready to speed their tax bill to a vote in the Senate https://t.co/zjSvnLTxqA,12
12,0.0,Mon Nov 27 17:02:46 +0000 2017,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @VVFriedman: Can Meghan Markle break out of the royal style box? Just imagine the clothes her patronage will sell (bet you the British f…,13
13,-0.1531,Mon Nov 27 16:47:19 +0000 2017,0.385,0.615,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Awkward. 
https://t.co/7Yy3JlNuXS",14
14,0.0,Mon Nov 27 16:31:03 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Too many Cyber Monday emails? Let our colleagues at @Wirecutter, an NYT company, do the deal-hunting for you. https://t.co/BuJNZLqddg",15
15,-0.6249,Mon Nov 27 16:16:06 +0000 2017,0.843,0.157,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","It’s not just the subways: New York’s bus system is in crisis. Ridership is way down, and average speed is under 8… https://t.co/A0xZvrogRN",16
16,0.5859,Mon Nov 27 16:01:04 +0000 2017,0.826,0.0,0.174,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump suggested a contest for the “most dishonest” media outlet. He said the winner would receive a “FAKE NEWS TROP… https://t.co/mXruvzXGmD,17
17,0.0,Mon Nov 27 15:44:04 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @nytimesarts: ""Coco"" is the fourth-biggest Thanksgiving movie ever https://t.co/xP1pIDrpHY",18
18,0.0,Mon Nov 27 15:31:05 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is the Golden State really a progressive utopia? Hardly, according to new research. https://t.co/fukY56ikiV",19
19,0.5267,Mon Nov 27 15:15:11 +0000 2017,0.769,0.069,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Fontana was best known for his slashes on canvas. An exhibition is casting a new light on a less known part of his… https://t.co/RkdAuafKRJ,20
20,0.1245,Mon Nov 27 20:01:06 +0000 2017,0.795,0.09,0.114,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A cafe’s sign that joked about “happily gentrifying” a Denver neighborhood did not go down well with the neighbors https://t.co/cuVk7MtPLs,21
21,0.7184,Mon Nov 27 19:47:52 +0000 2017,0.714,0.0,0.286,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @kchangnyt: Trust me. This is is an interesting story about international treaties, bureaucracy and regulations. https://t.co/WmozinTwkl",22
22,0.2732,Mon Nov 27 19:31:03 +0000 2017,0.9,0.0,0.1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After a week of upheaval, Angela Merkel turned to her old coalition partners. “We need to create stability,"" she sa… https://t.co/Gm1FfJpXSd",23
23,-0.6549,Mon Nov 27 19:16:05 +0000 2017,0.76,0.24,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Buying a fully assembled gun is a process subject to a host of regulations. But anyone can make a gun at home. https://t.co/Y3tvHhwtxB,24
24,-0.5267,Mon Nov 27 19:02:07 +0000 2017,0.747,0.253,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Senator Al Franken, battling for his political life, responded to accusations of groping https://t.co/cav6NJHBmm https://t.co/xDPJuEK6sF",25
25,0.5106,Mon Nov 27 18:50:57 +0000 2017,0.845,0.0,0.155,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @nytimesbooks: This Booker Prize finalist is a beguiling patchwork of influences held together by Fiona Mozley’s distinct voice https://…,26
26,-0.296,Mon Nov 27 18:31:01 +0000 2017,0.896,0.104,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Confusion reigned at a federal consumer agency as two bosses showed up, one an Obama holdover, the other a Trump pi… https://t.co/Bzq1Cwkuvv",27
27,-0.3182,Mon Nov 27 18:16:04 +0000 2017,0.67,0.196,0.134,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",There are many evidence-based prevention programs that could be usefully applied to the opioid crisis https://t.co/44lgWGTO5q,28
28,-0.6124,Mon Nov 27 18:02:46 +0000 2017,0.6,0.4,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Leading health organizations now recognize chronic fatigue as a serious long-term illness https://t.co/hSFgvg7VJF,29
29,0.3612,Mon Nov 27 17:47:44 +0000 2017,0.906,0.0,0.094,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @mairalg: I'm collecting readers' thoughts on Pixar's ""Coco"" for an article. What did you think of the film? What was it like seeing the…",30
30,-0.8126,Mon Nov 27 17:31:07 +0000 2017,0.656,0.344,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A blogger was sentenced to prison for posting reports on a chemical spill that devastated the coast of central Viet… https://t.co/xsutsRMiyY,31
31,0.3612,Mon Nov 27 17:16:11 +0000 2017,0.839,0.0,0.161,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Republicans are ready to speed their tax bill to a vote in the Senate https://t.co/zjSvnLTxqA,32
32,0.0,Mon Nov 27 17:02:46 +0000 2017,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @VVFriedman: Can Meghan Markle break out of the royal style box? Just imagine the clothes her patronage will sell (bet you the British f…,33
33,-0.1531,Mon Nov 27 16:47:19 +0000 2017,0.385,0.615,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Awkward. 
https://t.co/7Yy3JlNuXS",34
34,0.0,Mon Nov 27 16:31:03 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Too many Cyber Monday emails? Let our colleagues at @Wirecutter, an NYT company, do the deal-hunting for you. https://t.co/BuJNZLqddg",35
35,-0.6249,Mon Nov 27 16:16:06 +0000 2017,0.843,0.157,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","It’s not just the subways: New York’s bus system is in crisis. Ridership is way down, and average speed is under 8… https://t.co/A0xZvrogRN",36
36,0.5859,Mon Nov 27 16:01:04 +0000 2017,0.826,0.0,0.174,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump suggested a contest for the “most dishonest” media outlet. He said the winner would receive a “FAKE NEWS TROP… https://t.co/mXruvzXGmD,37
37,0.0,Mon Nov 27 15:44:04 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @nytimesarts: ""Coco"" is the fourth-biggest Thanksgiving movie ever https://t.co/xP1pIDrpHY",38
38,0.0,Mon Nov 27 15:31:05 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is the Golden State really a progressive utopia? Hardly, according to new research. https://t.co/fukY56ikiV",39
39,0.5267,Mon Nov 27 15:15:11 +0000 2017,0.769,0.069,0.162,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Fontana was best known for his slashes on canvas. An exhibition is casting a new light on a less known part of his… https://t.co/RkdAuafKRJ,40
40,0.1245,Mon Nov 27 20:01:06 +0000 2017,0.795,0.09,0.114,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A cafe’s sign that joked about “happily gentrifying” a Denver neighborhood did not go down well with the neighbors https://t.co/cuVk7MtPLs,41
41,0.7184,Mon Nov 27 19:47:52 +0000 2017,0.714,0.0,0.286,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @kchangnyt: Trust me. This is is an interesting story about international treaties, bureaucracy and regulations. https://t.co/WmozinTwkl",42
42,0.2732,Mon Nov 27 19:31:03 +0000 2017,0.9,0.0,0.1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After a week of upheaval, Angela Merkel turned to her old coalition partners. “We need to create stability,"" she sa… https://t.co/Gm1FfJpXSd",43
43,-0.6549,Mon Nov 27 19:16:05 +0000 2017,0.76,0.24,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Buying a fully assembled gun is a process subject to a host of regulations. But anyone can make a gun at home. https://t.co/Y3tvHhwtxB,44
44,-0.5267,Mon Nov 27 19:02:07 +0000 2017,0.747,0.253,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Senator Al Franken, battling for his political life, responded to accusations of groping https://t.co/cav6NJHBmm https://t.co/xDPJuEK6sF",45
